Question	Category
Did any electric utilities revise their capex forecasts in Q3 2020 compared to the prior quarter?	General Search
resin type automotive	General Search
what is surface tension?	Specific Search
what are current mortgage lending rates from citibank	Information Search
How are banks incorporating blockchain technology?	Deep Search
What causes over films?	Specific Search
how to imprve edge marking	Deep Search
ワキとは何ですか？	Unknown Intent
What line items are considered Tier-1 Capital?	Specific Search
what is atomization?	Specific Search
HBAN FR	Specific Search
What is OEM paint?	Specific Search
filtration	General Search
how thick is paint?	Deep Search
what is the target film thickness?	Specific Search
What percentage of us power supply comes from solar and wind sources	Ranking Search
what cause poor color m,atch?	Specific Search
safety transport and distribution	General Search
this year represents a third consecutive year of acceptable earnings	Specific Search
how to improve sagging?	Deep Search
do you speak german	Unknown Intent
What should I check in case of Mottling?	Specific Search
smooth and  textured bell edges	General Search
settling on a solvent borne basecoat	General Search
can I adjust my basecoat with a slow solvent?	Specific Search
what is the spectral density of standard light?	Specific Search
How to improve popping?	Deep Search
what color is chromium oxide?	Specific Search
aluminum effect pigment	General Search
How to fix dirt issues in clearcoat?	Deep Search
regions  net charge offs	Information Search
Has ABB recently launched any new products?	Specific Search
what was duke's transmission capital spend in 2018?	Deep Search
AFM	General Search
what is the peak temperature of a test panel in Florida?	Specific Search
Color strength	General Search
Are unsaturated polyester resins semi-finished products?	Specific Search
what are effect pigments	Specific Search
how much water is in waterborne paint?	Numerical Search
Which vendors service Wisconsin Energy with an integrated supply agreement?	Specific Search
what is the US distribution automation market forecast?	Deep Search
nonaccrual loans at mtb	Information Search
what's difference between popping and pinhole	Specific Search
How can a bank's credit risk be quantified?	Deep Search
scratch marks	General Search
What can I do if I have delamination?	Specific Search
what causes pinholes	Specific Search
which banks did the most M&A business in 2021	Ranking Search
what is windshield glass bonding?	Specific Search
layer cohesive failure	General Search
number of PNC branches	Numerical Search
how much of bidens infrastructure plan is for transmission infrastructure?	Information Search
the net income	Specific Search
has wesco recently made any divestitures?	Specific Search
does a green color absorb green light?	Specific Search
what strategies are banks developing around cryptocurrencies?	Specific Search
gassing of aluminum-contained waterborne basecoat	General Search
what fix bleeding	Specific Search
what is corona charging?	Specific Search
Who is the largest bank in connecticut	Deep Search
How do you paint?	Deep Search
E Coat recommended temperature	General Search
what states does duke energy serve?	Specific Search
what is the base painting\	Specific Search
fatty acids	General Search
What was Quanta's revenue growth percentage in Q3 2020?	General Search
what was pg&e's electric operating revenue YOY growth % in Q3 2020?	Information Search
what is GC?	Specific Search
pigment binder volume relation	General Search
layer mixing	General Search
How to evaluate chromatic colors?	Deep Search
what is the outlook for the transmission market in 2021?	Deep Search
us bank deposit growth	Specific Search
what is de audi	Specific Search
sanding marks	General Search
2022 guidance	General Search
What is the most important asset on a bank balance sheet?	Specific Search
what are appearance values?	Specific Search
spend volumes at axp	Information Search
viscosity of paint during film formation	General Search
most successful retail bank in Maine	Ranking Search
top oil producers in united states	Ranking Search
what are analysts saying about verizon and 5g	Specific Search
fdic	General Search
polyester structure	General Search
what are bank crypto plands	Specific Search
what was ABB's Q1 2021 sales growth?	Specific Search
what are anticorrosive pigments?	Specific Search
I have a low ph in the ecoat bath what can I d?	Specific Search
settlement	General Search
how to fix sagging	Deep Search
what is pinholes	Specific Search
pneumatic spray guns	General Search
What are electric transmission market drivers?	Specific Search
hydromic hydrolan	General Search
what is o Shaping Air	Specific Search
what are the process steps on colating lines?	Specific Search
what causes crater?	Specific Search
fix mottling	General Search
is there any m&a activity in oil	Specific Search
what is clouding	Specific Search
which banks are discussion fintech competition?	Specific Search
shear stress on paints	General Search
goldman sachs q3 net interest income	Information Search
acids and anhydrides	General Search
how do pigments show color	Deep Search
how to adjust the application parameter if the color is too light	Deep Search
how many customers does FPL serve?	Numerical Search
poor interior hiding	General Search
How to improve appearance?	Deep Search
citigroup earnings	Specific Search
how does air atomization affect mottling`?	Deep Search
which banks have branches closest to buffalo new york	Specific Search
What is Eaton's utility market growth rate forecast for 2021?	General Search
how to improve wetting	Deep Search
What was Eaton's Q4 2020 revenue outlook?	Information Search
what is sagging	Specific Search
what are the main application parameters	Specific Search
crater types	General Search
Slumping	General Search
what is an acrylic resin?	Specific Search
Paint theory	General Search
melamine	General Search
what is pigment volume concentration?	Specific Search
how many bank branches are there in nevada	Numerical Search
what is sag	Specific Search
is it raining?	Unknown Intent
help me	Unknown Intent
what was quanta's revenue growth percentage in q3 2020	Deep Search
what is a random error?	Specific Search
When was morgan stanley incorporated	Specific Search
Oven curve	General Search
does entergy plan to reduce O&M?	Deep Search
Who's talking about Basel IV?	Specific Search
What is C Three's market growth rate for transmission in 2021?	Deep Search
How to fix dirt issues in ed-coat?	Deep Search
color degradation	General Search
Why is M&T merging with Peoples?	Deep Search
What is a run-out?	Specific Search
Who mentioned earnings	Deep Search
What can I do to improve Sagging	Specific Search
Can you show me a fiber defect	Specific Search
interest rate sensitivity at cfg	Information Search
when does nextera expect employees to return to the office	Specific Search
who mentioned crypto	Deep Search
what is ecoat?	Specific Search
what are electric utilities sayng about green hydroGeneral Search	Information Search
what is rheology	Specific Search
tristate fintech	General Search
ecoat	General Search
is linseed oil in paint?	Specific Search
How to measure appearance by wavescan	Deep Search
when was Huntington Bancshares founded	Specific Search
storage modulus	General Search
how many online only retail banks in the US	Numerical Search
throw power	General Search
how many linkedin followers does ABB have?	Numerical Search
what is a ball mill?	Specific Search
What strategies are banks developing around cryptocurrencies/distributed ledgers?	Specific Search
company net income	Specific Search
is a crater a pinhole?	Specific Search
what are the different types of application	Specific Search
how to measure surface tension	Deep Search
what is used in clearcoat	Specific Search
allowence for credit losses	Specific Search
what is o o Spray booth	Specific Search
spotting	General Search
capital expenditures for southern company	General Search
corporate planning	Information Search
is ozark considering acquisition	Deep Search
what is a bell applicator?	Specific Search
non-Newtonian flow	General Search
Why do I see blisters?	Deep Search
Which banks are considered to be part of the bulge bracket?	Specific Search
I see whitening in the clearcoat	Unknown Intent
Recent Gridliance news?	General Search
directors of signature bank	Specific Search
How to fix crater issues?	Deep Search
color match	General Search
clouds	General Search
ssb bancorp From parent holding company	Numerical Search
Which banks are talking about fintech competition	Deep Search
VERSAILLES FINANCIAL CORPORATION	Information Search
what happens with high bath conductivity?	Specific Search
What is Eversource's capital plan?	Information Search
What is the Rheology control agent in waterborne basecoat	Specific Search
which banks ipo'd in 2021?	Specific Search
how to improve edge marking	Deep Search
how much did entergy spend on storm related expenses in February 2021?	Numerical Search
what is the DIN method for solids	Specific Search
what is an e-coat dirt	Specific Search
improvement packaging marks	General Search
how is the 10 yr treasury today	Unknown Intent
tell me about paint	General Search
american express discount rate	Information Search
abbb Outstanding issuances of perpetual preferred stock	Unknown Intent
coating foils	General Search
how can i prevent orange peel?	Deep Search
what is resin	Specific Search
What is RDOF?	Specific Search
how to fix crater on substrate	Deep Search
Puerto Rico Electric Power Authority news releases	Information Search
How to prevent sagging?	Deep Search
what is VOC	Specific Search
what is the capital expenditure forecast for Southern Company	Deep Search
voc	General Search
what did utilities say about capex plans during q1 2021?	Information Search
Pinhol	General Search
aliphthalic hydrocarbons	General Search
PVC	General Search
what color is iron oxide?	Specific Search
what's the biggest bank in the US	Ranking Search
who are you	Unknown Intent
xylene and haps	General Search
How much is spent annually on electric substation construction?	Numerical Search
jpm earnings	Numerical Search
what is shipping air	Specific Search
imino	General Search
where was Huntington Bancshares founded	Specific Search
what is barium sulfate?	Specific Search
what is a pigment?	Specific Search
E Coat bath temperature	General Search
M&A activity in oil	Specific Search
how to increase filmbuild thickness	Deep Search
How much do electric utilities spend on the construction of one mile of transmission line?	Numerical Search
what banks are discussing fintech	Information Search
What might happen if I increase the flow rate?	Specific Search
what is a piston pump?	Specific Search
what are hubbell's 2021 expectations for T&D market growth?	Deep Search
Hydromic	General Search
bancorp net income	Specific Search
layer mix	General Search
dilatent	General Search
I have run-outs what can I do?	Specific Search
basecoat primer adhesion	General Search
what is imnportant for adhesion?	Specific Search
muensel	General Search
how to increase resisitivity	Deep Search
what is the FLOWRATE	Specific Search
Why do I see blisters in the coating?	Deep Search
How can you determine the amount of Risk-Weighted assets held by a bank?	Deep Search
what is a pinhole	Specific Search
bank branches reduction in 2020	Numerical Search
door frame coverage	General Search
what is the equation for density?	Specific Search
how are interest rate reductions going to impact banks?	Deep Search
what was PG&E's wildfire mitigation plan spending from 2017-2020?	Information Search
What COVID-19 impacts were discussed on Entergy's 3Q20 earnings call?	General Search
What is the recommended application electric resistance range for OEM coating ESTA spray	Specific Search
base coats sags root cause	General Search
what is chroma	Specific Search
hot to fix motlling	Specific Search
cause of telegraphing	Specific Search
How much stoving temperatures does phenolic resins require?	Numerical Search
What are the kind of craters	Specific Search
Have there been any recent price increases announced in the electric utility industry?	Deep Search
who is huntington bancshare's ceo?	Specific Search
acquisition plans	General Search
lakh bug	General Search
what did jpmorgan say about fintech	Ranking Search
munsel	General Search
what is the utility market outlook in 2021?	Ranking Search
what did contractors say about the T&D market during q1 2021 earnings?	Deep Search
what causes pinhole	Specific Search
types of crater	General Search
who missed revenue last quarter?	Specific Search
what interest rate assumptions are banks building into their earnings guidance	Deep Search
we have lines in the water	General Search
What the heat resistance do silicone resins have?	Specific Search
did centerpoint comment about O&M management during their Q1 2021 earnings call?	Deep Search
what were eatons electrical segment sales in q4 2020?	Information Search
mastec q4 2020 earnings call slides	General Search
how to measure color	Deep Search
how is the 10 yr treasury today	Specific Search
what is the outlook for the us transmission market in 2021?	Deep Search
what is the adequate target distance	Specific Search
what was aep's EPS for Q3 2020?	Information Search
west coast banks	General Search
How to measure the spectral distribution?	Deep Search
will solid content of the material influence the film build?	Specific Search
What causes Mottling?	Specific Search
e-coat agglomerate	General Search
basecoat adhesion	General Search
what is quanta's 2021 industry outlook?	Deep Search
which banks are discussing crypto	Specific Search
what are analysts saying about verizon and 5g	Specific Search
Where are Chase bank's subsidiaries	Information Search
ratio lw and sw	General Search
What can i do if facing craters?	Specific Search
compatibility	General Search
definition of CIE color space	Specific Search
what do people think about crypto	Ranking Search
acetic acid structure	General Search
what are the largest banks in the US	Ranking Search
what is Prosim	Specific Search
what is an e-coat pinhole	Specific Search
Crater prenvention	General Search
how does viscosity correlate to molecular weight?	Deep Search
what is an agglomerate	Specific Search
Why relative sensitivity to spectral ranges varies from  person to person?	Deep Search
types of resins	General Search
How is a bank's Net Interest Income calculated?	Deep Search
wind generation	General Search
carbodiamide	General Search
how do i stabalize ph	Deep Search
how can I prevent fisheyes?	Deep Search
raygloss	General Search
what is a pyknometer	Specific Search
cross hatch rating	General Search
color care	General Search
what is Huntington Bancshares Inc FFIEC 101	Ranking Search
adhesion causes	Specific Search
what is a basecoat	Specific Search
what causes sagging?	Specific Search
Exton, Pennsylvania Branch	General Search
surface tension too low	General Search
Investments in own tier 2 capital instruments for Morgan Stanley	General Search
What oil well are in the permian basin?	Specific Search
tristate	General Search
picture of a high speed bell	Specific Search
how many hotsticks does hastings sell every year	Numerical Search
appearance	General Search
What are the top oil fracking locations in the united states	General Search
how you can identify an organic fiber	Deep Search
what is film thickness	Specific Search
what transmission projects are going on at AEP?	Specific Search
what are bank loan growth expectations	Specific Search
How many branches does morgan stanley have	Numerical Search
PREPA news releases	Information Search
how are you	Unknown Intent
who is reporting earnings next week?	Specific Search
who is us director of sales for ecr	Specific Search
hban net income	General Search
what is pigment	Specific Search
How to avoid overspray in the paint?	Deep Search
what is BNPL	Specific Search
What is the significance of a bank's capital tiers, such as tier 1 and tier 2 capital?	Specific Search
8QUHDOL]HGORVVHVRQLQYHVWPHQWVHFXULWLHVDYDLODEOHIRUVDOH	Unknown Intent
when does Apples next Quarter start?	Specific Search
fluid tip size	General Search
how to increase transfer efficiency	Deep Search
how many branches does citibank have in New york?	Numerical Search
viscsoity of paint during film formation	General Search
what is the viscosity of the paint during film formation?	Specific Search
what is the cause of pop	Specific Search
What companies are discussing fintech competition	General Search
when does Apple next Quarter start?	Specific Search
Why is shareholder equity an important metric for assessing leverage and loan risk?	Deep Search
fon	Unknown Intent
crypto strategy	General Search
who acquired banks in 2021?	Specific Search
what causes adhesion failure	Specific Search
how to prevent sagging	Deep Search
what did jpmorgan say about pension plans	Ranking Search
How to improve verticle appearance?	Deep Search
what is a ball mill	Specific Search
what is dry film density?	Specific Search
what was said about crypto	Specific Search
sprayability	General Search
What would conversion of styrene result in?	Specific Search
inside ownership at sbny	Specific Search
what is the film thickness of electrocoat?	Specific Search
what are effect pigments?	Specific Search
DLVO theory	Specific Search
what does tmdd do	Specific Search
ureclear	General Search
I have a low film build of ecoat in the interior what can I do?	Specific Search
Is xylene a faster solvent as butyl acetate?	Ranking Search
what is tristate saying about acquisition	Specific Search
Loan Rollforward	Numerical Search
What storms was Duke Energy impacted by in 2018?	Specific Search
definition of mottling	Specific Search
what is the outlook for the electric utility market in the US?	Deep Search
Funding secured by level 2A liquid assets	General Search
What is sagging?	Specific Search
what is Huntington Bancshares Inc Factsheet	Ranking Search
how to fix sagging?	Deep Search
ss	General Search
what types of paint resin are there	Specific Search
what is SW and LW	Specific Search
How does a Bank make money through assets and liabilities, such as loans and deposits?	Deep Search
what was PG&E's capex spend in Q1 2020?	Information Search
how to get rid of soft paint	Deep Search
How to use a Byk-mac i?	Deep Search
what is a a typical bell diameter?	Specific Search
velocity of atomization air as a funtion of air pressure	General Search
Huntington bancshares inc ffiec 101	Deep Search
what is a bell?	Specific Search
bnpl	Information Search
what does a pneumatic spray gun look like?	Specific Search
what projects are part of the $8B DOE funding for transmission projects?	Ranking Search
what is long wave?	Specific Search
what is an attritor mill?	Specific Search
How to fix mottling on the hood?	Deep Search
How many branches does Chase bank have in Connecticut	Numerical Search
what causes small holes	Specific Search
Drying speed	General Search
What banks are discussing fintech competition/partnerships/developments?	Information Search
which banks are discussing mergers	Specific Search
where are plastic parts used on automobiles?	Specific Search
five star bancorp Loan Portfolio Composition	Specific Search
how to improve mottle	Deep Search
which banks acquired companies in 2021?	Specific Search
polyether structure	General Search
acquisitions	General Search
viscsoity of paint during film formaiton	General Search
Is xylene a faster solvent as btyl acetate?	Ranking Search
what is an e-coat agglomerate	Specific Search
what causes orange peel?	Specific Search
what is the price of oil	General Search
did evergy reduce O&M in Q4 2020?	Information Search
regions bank net charge offs	Information Search
how are audi tolerances calculated	Specific Search
what is eaton projecting for growth for 2022	Deep Search
how to decrease film build	Deep Search
black volkswagen	General Search
who mentioned cryptocurrency	Deep Search
banks with loan growth	General Search
hello	Unknown Intent
what did jp morgan say about earnings	General Search
jp morgan personnel	Deep Search
what did jpm say about earnings	General Search
improvement hardness of basecoats	General Search
which banks are contemplating acquisitions	Specific Search
What are Chase bank's subsidiaries	Information Search
what are  fisheyes?	Specific Search
what is OG&E's capex plan?	Deep Search
Which U.S. bank has the highest deposit market share	Deep Search
how to fix crater issues	Deep Search
Does Biden's infrastructure bill include electric grid investment?	General Search
what is de cmc	Specific Search
what is de*	Specific Search
what is paint leveling?	Specific Search
what is a slow solvent?	Specific Search
what is clearcoat?	Specific Search
viscosity and molecular weigh tequation	General Search
what is the outlook for the electric utility market?	Deep Search
what causes bleeding	Specific Search
what states does AEP serve?	Deep Search
how are fed interest rate reductions going to impact banks?	Deep Search
acetone	General Search
what is a solvent	Specific Search
finance	General Search
what is methamerism	Specific Search
net incomes	Numerical Search
what sources of fibers exist	Specific Search
How to avoid seeds in the paint?	Deep Search
tinting power	General Search
what are bank crypto plans	Specific Search
What did citigroup say about fintech	General Search
how to fix mottling	Specific Search
anodic electrocoat	General Search
what causes small holes in substrate	Specific Search
smooth and  textured rims of bell cups	General Search
How to improve haze	Deep Search
what is the visible light range in nm?	Specific Search
What causes voltage failure	Specific Search
Processing copper	General Search
How can avoid popping in the clearcoat	Deep Search
how to find a color variant	Deep Search
what causes crater	Specific Search
what is sag?	Specific Search
s xylene a faster solvent as butyl acetate?	Specific Search
bubble viscosity	General Search
yellowing after heat ageing	General Search
which banks failed in 2008	Deep Search
smooth and serrrated bell picture	General Search
What did my competition say about green hydroGeneral Search	Ranking Search
what banks are discussing Fintech partnership?	General Search
Which companies are discussing fintech?	Deep Search
does clearcoat thickness impact pop?	Specific Search
what did citibank say about fintech	Ranking Search
What strategies are banks developing around cryptocurrencies	Specific Search
what did first citibank say about fintech	General Search
why do metals corrode	Deep Search
what is the difference between a pop and a pinhole?	Ranking Search
what is citigroup saying about crypto	Deep Search
causes for corrosion in a painted body	Specific Search
how is a banks solvency ratio calculated?	Information Search
what is eaton's 2022 growth outlook?	Deep Search
loss of gloss	General Search
is the number of bank branches for huntington bancshares increasing or decreasing?	Numerical Search
Who are the GSIBS?	Specific Search
how you can identify a natural fiber	Deep Search
What is Eaton's organic growth forecast through 2025?	Deep Search
Where are Chase bank's subsidiaries	Specific Search
How much is Evergy expected to invest as part of their Sustainable Transformation Plan (STP)	Deep Search
How can I improve flake orientation	Deep Search
citigroup revenue	Information Search
Oncor's summer preparedness program	General Search
what does a bell applicator look like?	Specific Search
what did jp morgan say about crypto	Information Search
What valuation multiples and metrics are most important when performing comparable analysis across banks?	Specific Search
how to fix crater	Deep Search
